"scenario","method","log_BF","effect_size","sample_size"
"3","JZS",-0.259136724351413,"0.0","50"
"3","BFGC",-0.271740547269792,"0.0","50"
"3","JZS",-0.0116066942735786,"0.0","50"
"3","BFGC",-0.0159572386540635,"0.0","50"
"3","JZS",-0.675224410168066,"0.0","50"
"3","BFGC",-0.706547025925489,"0.0","50"
"3","JZS",-0.67593073302209,"0.0","50"
"3","BFGC",-0.70729093010021,"0.0","50"
"3","JZS",-0.65810631004683,"0.0","50"
"3","BFGC",-0.688571648226831,"0.0","50"
"3","JZS",0.0137433359607152,"0.0","50"
"3","BFGC",0.0111293387643696,"0.0","50"
"1","JZS",-0.244434625088022,"0.0","50"
"1","BFGC",-0.254923215378409,"0.0","50"
"3","JZS",-0.475324783362151,"0.0","50"
"3","BFGC",-0.497387685708722,"0.0","50"
"3","JZS",0.0543497735505019,"0.0","50"
"3","BFGC",0.05614225124225,"0.0","50"
"3","JZS",-0.617085474834014,"0.0","50"
"3","BFGC",-0.644540511628047,"0.0","50"
"3","JZS",-0.671897276493885,"0.0","50"
"3","BFGC",-0.70300212392996,"0.0","50"
"3","JZS",-0.222935312179262,"0.0","50"
"3","BFGC",-0.234520958982741,"0.0","50"
"3","JZS",-0.675942508846032,"0.0","50"
"3","BFGC",-0.707303236326311,"0.0","50"
"3","JZS",-0.671722706794971,"0.0","50"
"3","BFGC",-0.70280746797453,"0.0","50"
"3","JZS",-0.663243222139994,"0.0","50"
"3","BFGC",-0.693987342202074,"0.0","50"
"3","JZS",-0.669111050046749,"0.0","50"
"3","BFGC",-0.700120232454972,"0.0","50"
"3","JZS",-0.632578922788733,"0.0","50"
"3","BFGC",-0.661617129247054,"0.0","50"
"1","JZS",-0.634266831695832,"0.0","50"
"1","BFGC",-0.663197417607248,"0.0","50"
"3","JZS",-0.573336941772097,"0.0","50"
"3","BFGC",-0.599192579627469,"0.0","50"
"3","JZS",-0.606123914114551,"0.0","50"
"3","BFGC",-0.633561143856671,"0.0","50"
"3","JZS",-0.398914930403268,"0.0","50"
"3","BFGC",-0.417343385641972,"0.0","50"
"3","JZS",-0.146425558366676,"0.0","50"
"3","BFGC",-0.155383609113458,"0.0","50"
"3","JZS",-0.553647048231558,"0.0","50"
"3","BFGC",-0.578375856202797,"0.0","50"
"3","JZS",-0.642232078111191,"0.0","50"
"3","BFGC",-0.671425384234856,"0.0","50"
"3","JZS",-0.457061679025588,"0.0","50"
"3","BFGC",-0.477653744705996,"0.0","50"
"3","JZS",-0.501730240661053,"0.0","50"
"3","BFGC",-0.522149119960025,"0.0","50"
"3","JZS",-0.521369125708082,"0.0","50"
"3","BFGC",-0.545445346211592,"0.0","50"
"3","JZS",-0.490417521673788,"0.0","50"
"3","BFGC",-0.510908910352277,"0.0","50"
"1","JZS",-0.542942048105005,"0.0","50"
"1","BFGC",-0.567523387951764,"0.0","50"
"3","JZS",-0.561551425989477,"0.0","50"
"3","BFGC",-0.586621644952475,"0.0","50"
"3","JZS",-0.615503403728629,"0.0","50"
"3","BFGC",-0.643717419740538,"0.0","50"
"3","JZS",-0.662405716708409,"0.0","50"
"3","BFGC",-0.693007011571663,"0.0","50"
"3","JZS",-0.570698838599803,"0.0","50"
"3","BFGC",-0.597038163212918,"0.0","50"
"3","JZS",-0.593412276799735,"0.0","50"
"3","BFGC",-0.620070731691112,"0.0","50"
"3","JZS",-0.674536191855209,"0.0","50"
"3","BFGC",-0.705808520249804,"0.0","50"
"3","JZS",-0.632247961964829,"0.0","50"
"3","BFGC",-0.660684838324441,"0.0","50"
"3","JZS",-0.574395543858239,"0.0","50"
"3","BFGC",-0.60055470859725,"0.0","50"
"3","JZS",-0.484635626811132,"0.0","50"
"3","BFGC",-0.504743557461819,"0.0","50"
"3","JZS",-0.674989837462268,"0.0","50"
"3","BFGC",-0.706298344124767,"0.0","50"
"1","JZS",-0.625686908668614,"0.0","50"
"1","BFGC",-0.654624698515148,"0.0","50"
"3","JZS",-0.518052964747521,"0.0","50"
"3","BFGC",-0.541250356251604,"0.0","50"
"3","JZS",-0.0422954371929257,"0.0","50"
"3","BFGC",-0.0445771775420465,"0.0","50"
"3","JZS",-0.360288841907053,"0.0","50"
"3","BFGC",-0.374688447578958,"0.0","50"
"3","JZS",-0.462013907541829,"0.0","50"
"3","BFGC",-0.482876477472486,"0.0","50"
"3","JZS",-0.572555614762382,"0.0","50"
"3","BFGC",-0.598443999255865,"0.0","50"
"3","JZS",-0.673364959471172,"0.0","50"
"3","BFGC",-0.704580513686867,"0.0","50"
"3","JZS",-0.646036479408282,"0.0","50"
"3","BFGC",-0.675825256010706,"0.0","50"
"3","JZS",-0.588039424379493,"0.0","50"
"3","BFGC",-0.61493804665344,"0.0","50"
"3","JZS",-0.566593259444383,"0.0","50"
"3","BFGC",-0.590563509076856,"0.0","50"
"3","JZS",-0.348143738414946,"0.0","50"
"3","BFGC",-0.36245927814874,"0.0","50"
"1","JZS",-0.181847706027025,"0.0","50"
"1","BFGC",-0.191155708424057,"0.0","50"
"3","JZS",-0.528151227427372,"0.0","50"
"3","BFGC",-0.550538526531696,"0.0","50"
"3","JZS",-0.665707263490823,"0.0","50"
"3","BFGC",-0.696399203499536,"0.0","50"
"3","JZS",-0.675712202548386,"0.0","50"
"3","BFGC",-0.707057858496118,"0.0","50"
"3","JZS",-0.661283731159511,"0.0","50"
"3","BFGC",-0.691917638140609,"0.0","50"
"3","JZS",-0.663696296467374,"0.0","50"
"3","BFGC",-0.694124643044048,"0.0","50"
"3","JZS",-0.560070228750802,"0.0","50"
"3","BFGC",-0.585045140171441,"0.0","50"
"3","JZS",-0.6485186086685,"0.0","50"
"3","BFGC",-0.67828210509476,"0.0","50"
"3","JZS",-0.402914064549855,"0.0","50"
"3","BFGC",-0.420659651626697,"0.0","50"
"3","JZS",-0.675370050243052,"0.0","50"
"3","BFGC",-0.706701945035604,"0.0","50"
"3","JZS",-0.618460024248194,"0.0","50"
"3","BFGC",-0.646609882707911,"0.0","50"
"1","JZS",-0.64432708387349,"0.0","50"
"1","BFGC",-0.674149989982261,"0.0","50"
"3","JZS",-0.671920212141899,"0.0","50"
"3","BFGC",-0.703063753252359,"0.0","50"
"3","JZS",0.322234272619859,"0.0","50"
"3","BFGC",0.328987121541538,"0.0","50"
"3","JZS",-0.36865620237704,"0.0","50"
"3","BFGC",-0.385385610508292,"0.0","50"
"3","JZS",-0.361944739129583,"0.0","50"
"3","BFGC",-0.37877099495869,"0.0","50"
"3","JZS",-0.563802018468156,"0.0","50"
"3","BFGC",-0.58875764685575,"0.0","50"
"3","JZS",-0.661644937956287,"0.0","50"
"3","BFGC",-0.692311530423864,"0.0","50"
"3","JZS",-0.632103581816321,"0.0","50"
"3","BFGC",-0.660858152406489,"0.0","50"
"3","JZS",-0.672855520007903,"0.0","50"
"3","BFGC",-0.704003886652251,"0.0","50"
"3","JZS",-0.651150760218621,"0.0","50"
"3","BFGC",-0.681105602300145,"0.0","50"
"3","JZS",-0.615061695246759,"0.0","50"
"3","BFGC",-0.643170347227159,"0.0","50"
