"","N","JZSr707","JZSr1","BeFi","log_JZSr707","log_JZSr1","log_BeFi"
"48",520,1.21170489450001,0.89314914908236,0.810461035818331,0.0833968621605536,-0.0490760111957588,-0.0912678596999303
"49",530,1.2616791065367,0.929918941139918,0.843757519062334,0.100948911182699,-0.0315549062309017,-0.0737823439710155
"50",540,1.31393927202338,0.968370759364358,0.878577219577114,0.11857529335572,-0.0139583328594179,-0.0562200616445835
"51",550,1.36858990535448,1.00858143861134,0.914989646154712,0.136273332339369,0.00371097137531976,-0.038583820297832
"52",560,1.42574052260976,1.05063149303296,0.953067639518702,0.154040493361149,0.0214504147856123,-0.0208762762480189
"53",570,1.48550587640932,1.09460528864518,0.99288752654826,0.171874374138398,0.039257542129043,-0.00309994522667059
"54",580,1.54800619882373,1.14059122172046,1.03452928232864,0.18977269543573,0.0571300248213848,0.0147427878715096
"55",590,1.61336745677039,1.18868190633541,1.07807670036137,0.207733292542743,0.0750656520907438,0.0326496600703196
"56",600,1.68172162418896,1.23897437445467,1.12361757129004,0.225754108534342,0.0930623240128479,0.0506185221410006
"57",610,1.75320696173078,1.2915702813128,1.17124387051846,0.243833186505797,0.11111804346006,0.0686473311043925
"58",620,1.82796831211052,1.34657612234734,1.22105195512151,0.261968662954254,0.129230909237281,0.0867341433408962
"59",630,1.90615741770564,1.40410346694276,1.27314277047144,0.280158763468042,0.147399111687411,0.104877108250041
"60",640,1.98793323862095,1.46426919170817,1.32762206702611,0.298401795259795,0.165620924896232,0.123074462407872
"61",650,2.07346229913092,1.52719573531161,1.38460062775041,0.316696143182912,0.183894702621583,0.14132452417595
"62",660,2.16291904630458,1.59301136201152,1.44419450666718,0.335040264977167,0.202218873378851,0.159625688720807
"63",670,2.25648622682521,1.66185043858696,1.5065252790601,0.353432687011021,0.220591936043087,0.177976423406787
"64",680,2.3543552813744,1.73385372419791,1.5717203038785,0.371872000180249,0.239012455623863,0.19637526352928
"65",690,2.45672675524976,1.80916867201988,1.63991299892224,0.390356855590238,0.257479058796027,0.214820808358528
"66",700,2.56381073837038,1.88794975286337,1.71124312941465,0.408885962221525,0.275990431516837,0.233311717467368
"67",710,2.67582732108896,1.97035879023868,1.78585711060193,0.427458083715393,0.294545315721477,0.251846707318685
"68",720,2.79300705962009,2.05656530193858,1.86390832505004,0.446072033427526,0.313142504178925,0.270424548090929
"69",730,2.91559149206592,2.14674687994622,1.94555745534368,0.464726674251635,0.33178084037331,0.289044060722013
"70",740,3.04383365524697,2.24108957001639,2.0309728329269,0.483420914661506,0.350459214404983,0.307704114153775
"71",750,3.17799863396057,2.33978827529594,2.1203308038621,0.5021537061931,0.369176560388436,0.326403622760947
"72",760,3.31836414179614,2.44304718341507,2.21381611232281,0.520924041753243,0.387931854733945,0.345141543950024
"73",770,3.46522112358904,2.55108020922101,2.31162230267489,0.5397309531442,0.406724113597817,0.363916875914569
"74",780,3.61887438725663,2.66411145904384,2.41395214104511,0.558573508814728,0.425552390556482,0.382728655535127
"75",790,3.77964327559855,2.78237572482757,2.52101805731834,0.577450812866392,0.444415775620604,0.401575956412513
"76",800,3.94786235123966,2.90611898696284,2.63304260855231,0.596362001865074,0.463313391904011,0.420457887024574
"77",810,4.12388214953686,3.03559896877258,2.75025896484637,0.615306245714983,0.482244396619657,0.439373588997049
"78",820,4.30806991739556,3.1710856782571,2.87291141955233,0.634282743022573,0.501207976209239,0.458322235601174
"79",830,4.50081043824957,3.31286201542891,3.00125592014501,0.653290722035162,0.520203347386401,0.477303029736063
"80",840,4.70250686102516,3.46122438099061,3.13556063306629,0.672329437864776,0.539229754239918,0.496315203246118
"81",850,4.91358159282202,3.61648333301803,3.27610652758795,0.691398172155246,0.558286467941367,0.515358015063787
"82",860,5.13447721401977,3.77896425895248,3.42318799219718,0.710496230869099,0.577372784424789,0.534430750067472
"83",870,5.36565746269729,3.94900809978424,3.57711348000731,0.729622944368587,0.59648802451598,0.553532717884289
"84",880,5.60760823866074,4.1269720874326,3.73820618514047,0.748777665134972,0.615631531558542,0.572663251724256
"85",890,5.8608386922714,4.31323054603882,3.90680475366484,0.767959768469066,0.634802672195698,0.59182170748156
"86",900,6.12588230443031,4.50817568386631,4.08326402515638,0.787168648522221,0.654000832184849,0.611007462450867
"87",910,6.40329810757642,4.71221849305363,4.26795581439142,0.806403721012319,0.673225419327344,0.630219914579677
"88",920,6.69367188275384,4.92578962781417,4.46126972872737,0.825664419852956,0.692475859912663,0.649458481514793
"89",930,6.99761746004336,5.14934036079685,4.66361402561434,0.844950197144707,0.711751598747147,0.668722599752182
"90",940,7.31577807106608,5.38334357717381,4.87541651171752,0.864260522395785,0.73105209835721,0.688011723832215
"91",950,7.6488277665436,5.6282948164031,5.09712548567681,0.883594881750915,0.750376838191212,0.707325325577358
"92",960,7.99747291432764,5.88471337384538,5.32921072663035,0.902952777899256,0.769725314556039,0.726662893369706
"93",970,8.36245370943558,6.1531434085565,5.57216453073276,0.922333726734943,0.789097037112887,0.746023931465924
"94",980,8.74454590696738,6.43415522090379,5.82650279800589,0.941737262045835,0.808491533838076,0.76540795934716
"95",990,9.14456243964883,6.72834643745776,6.09276617197969,0.96116292964925,0.827908344859228,0.784814511102057
"96",1000,9.56335526441167,7.03634337028971,6.37152123469233,0.980610289469387,0.847347024671641,0.804243134840495
