"scenario","delta","rho","sdr","BF_robtt_mean","BF_robtt_median","BF_robtt_sd","BF_bain_student_mean","BF_bain_student_median","BF_bain_student_sd","BF_bain_welch_mean","BF_bain_welch_median","BF_bain_welch_sd","BF_bf_mean","BF_bf_median","BF_bf_sd"
1,0,0.689084895864802,0.671714224000351,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256434135272138,0.256434135272138,NA
1,0,0.689929124880816,0.670391112445863,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445690192465126,0.445690192465126,NA
1,0,0.690927952743572,0.668826516324879,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.445821340678543,0.445821340678543,NA
1,0,0.692346523783841,0.666605903236423,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256904839826947,0.256904839826947,NA
1,0,0.694309036475534,0.66353661294911,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446265955886503,0.446265955886503,NA
1,0,0.694457549716489,0.663304474144955,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446285509567237,0.446285509567237,NA
1,0,0.696601888390085,0.659954679992658,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446568068599841,0.446568068599841,NA
1,0,0.697812806652776,0.658064646642155,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446727822228606,0.446727822228606,NA
1,0,0.698834987453209,0.656470082184714,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244410226002373,0.244410226002373,NA
1,0,0.699324332711059,0.655707002915465,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446927430502568,0.446927430502568,NA
1,0,0.699389723210289,0.655605047402337,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446936070756335,0.446936070756335,NA
1,0,0.700945799318177,0.653179784087028,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244650602547228,0.244650602547228,NA
1,0,0.701394769546546,0.652480360239679,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234383387643405,0.234383387643405,NA
1,0,0.701409673518531,0.652457144739865,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24470369829136,0.24470369829136,NA
1,0,0.7023616738922,0.650974571086017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244812973373556,0.244812973373556,NA
1,0,0.702475018904909,0.650798099180149,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447344213117863,0.447344213117863,NA
1,0,0.702624417906753,0.650565507103846,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447364000249332,0.447364000249332,NA
1,0,0.702854361526858,0.650207549782966,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447394459416227,0.447394459416227,NA
1,0,0.703447536853156,0.649284314367867,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447473057784769,0.447473057784769,NA
1,0,0.703520918895162,0.649170117458343,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.244946599070881,0.244946599070881,NA
1,0,0.703635474093162,0.648991854472948,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258579394873952,0.258579394873952,NA
1,0,0.704677917374735,0.64737009003675,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447636200507253,0.447636200507253,NA
1,0,0.707450796092338,0.643059769486866,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259161978814957,0.259161978814957,NA
1,0,0.70865221926421,0.641193751405245,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448164220760605,0.448164220760605,NA
